file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
8238.pt,20,2.19010066986084,0.9999999523162841,3
13639.pt,9,2.1882548332214355,1.0000000264909532,1
1393.pt,7,2.1875,1.0,2
6454.pt,13,2.187457323074341,1.0000000320948088,1
11645.pt,16,2.1869874000549316,0.9999999590218067,2
5186.pt,12,2.186615467071533,0.9999999602635702,1
19114.pt,9,2.1833150386810303,1.0000000132454767,1
7467.pt,15,2.180549144744873,0.9999998450279236,3
9132.pt,13,2.1801414489746094,0.9999999839525956,2
11489.pt,19,2.179399013519287,0.999999989020197,1
16091.pt,9,2.178122043609619,1.0000000331136916,2
50811.pt,11,2.177295446395874,0.9999999566511675,1
11698.pt,17,2.174957752227783,0.9999999894815332,1
27079.pt,10,2.174858808517456,1.0000000238418578,1
249.pt,12,2.1737568378448486,1.00000003973643,1
15249.pt,10,2.1729683876037598,1.0000000417232513,1
